AÑO,INEGI,ENTIDAD,DELITO,MODALIDAD,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
2014,1,AGUASCALIENTES,HOMICIDIO,DOLOSO,1,5,2,2,4,8,2,2,3,8,3,4,44
2014,1,AGUASCALIENTES,HOMICIDIO,CULPOSO,19,18,19,17,18,6,19,17,18,14,21,31,217
2014,1,AGUASCALIENTES,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,1,0,0,0,1
2014,1,AGUASCALIENTES,EXTORSION,EXTORSION,6,6,5,5,0,1,3,2,7,0,5,3,43
2014,2,BAJA CALIFORNIA,HOMICIDIO,DOLOSO,78,78,66,59,47,74,61,63,70,70,47,51,764
2014,2,BAJA CALIFORNIA,HOMICIDIO,CULPOSO,31,19,21,23,53,50,42,40,39,45,39,56,458
2014,2,BAJA CALIFORNIA,SECUESTRO,SECUESTRO,5,3,5,6,5,2,1,7,4,5,2,3,48
2014,2,BAJA CALIFORNIA,EXTORSION,EXTORSION,29,22,29,31,29,28,18,22,23,22,22,17,292
2014,3,BAJA CALIFORNIA SUR,HOMICIDIO,DOLOSO,2,7,3,2,3,2,4,10,9,17,20,5,84
2014,3,BAJA CALIFORNIA SUR,HOMICIDIO,CULPOSO,2,3,3,3,8,5,1,4,3,3,6,1,42
2014,3,BAJA CALIFORNIA SUR,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,BAJA CALIFORNIA SUR,EXTORSION,EXTORSION,4,2,7,4,3,1,2,0,2,1,3,10,39
2014,4,CAMPECHE,HOMICIDIO,DOLOSO,9,1,5,6,7,3,4,4,3,10,8,7,67
2014,4,CAMPECHE,HOMICIDIO,CULPOSO,24,2,12,9,18,3,12,3,6,1,10,12,112
2014,4,CAMPECHE,SECUESTRO,SECUESTRO,0,0,0,0,0,3,0,0,0,0,0,0,3
2014,4,CAMPECHE,EXTORSION,EXTORSION,7,3,4,6,7,4,4,4,3,4,1,3,50
2014,7,CHIAPAS,HOMICIDIO,DOLOSO,32,32,40,44,41,34,34,27,40,26,24,39,413
2014,7,CHIAPAS,HOMICIDIO,CULPOSO,80,101,87,112,109,118,121,107,93,110,67,116,1221
2014,7,CHIAPAS,SECUESTRO,SECUESTRO,1,0,1,3,1,0,3,0,1,2,2,0,14
2014,7,CHIAPAS,EXTORSION,EXTORSION,16,12,25,12,16,18,33,15,20,14,13,8,202
2014,8,CHIHUAHUA,HOMICIDIO,DOLOSO,108,110,113,110,135,94,111,95,102,95,112,105,1290
2014,8,CHIHUAHUA,HOMICIDIO,CULPOSO,25,21,30,35,22,44,20,31,34,28,39,42,371
2014,8,CHIHUAHUA,SECUESTRO,SECUESTRO,1,0,1,1,1,0,0,2,1,1,0,0,8
2014,8,CHIHUAHUA,EXTORSION,EXTORSION,6,1,3,4,0,2,2,1,0,0,0,1,20
2014,5,COAHUILA,HOMICIDIO,DOLOSO,36,44,31,28,37,32,47,32,36,41,38,47,449
2014,5,COAHUILA,HOMICIDIO,CULPOSO,37,25,28,31,41,30,21,30,24,35,34,43,379
2014,5,COAHUILA,SECUESTRO,SECUESTRO,2,1,5,3,3,2,0,1,7,2,1,0,27
2014,5,COAHUILA,EXTORSION,EXTORSION,14,17,10,7,11,2,6,6,5,8,3,2,91
2014,6,COLIMA,HOMICIDIO,DOLOSO,7,18,8,15,11,8,7,7,2,9,11,7,110
